"CountryCode","SeriesCode","DESCRIPTION",
"PSE","SP.POP.TOTL","Data sources : World Bank estimates based on data from Palestinian Central Bureau of Statistics, excluding E. Jerusalem.",
"PYF","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"QAT","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ROU","SP.POP.TOTL","Data sources : Eurostat",
"RUS","SP.POP.TOTL","Data sources : Russian Federation Federal State Statistics Service (its January 1st populations were adjusted to mid-year populations by using geometric mean), 1979 Census, 1989 Census.",
"RWA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SAU","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SDN","SP.POP.TOTL","Data sources : United Nations World Population Prospects. Estimates are for Sudan excluding South Sudan.",
"SEN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SGP","SP.POP.TOTL","Data sources : Department of Statistics Singapore",
"SLB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SLE","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SLV","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SMR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SOM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SRB","SP.POP.TOTL","Data sources : Statistical Office of the Republic of Serbia, Eurostat, TransMONEE, Council of Europe. Note : Excluding Kosovo.",
"SSD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"STP","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SUR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SVK","SP.POP.TOTL","Data sources : Eurostat",
"SVN","SP.POP.TOTL","Data sources : Eurostat",
"SWE","SP.POP.TOTL","Data sources : Eurostat",
"SWZ","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"SYC","SP.POP.TOTL","Data sources : National Bureau of Statistics",
"SYR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TCD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TGO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"THA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TJK","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TKM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TLS","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TON","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TTO","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TUN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TUR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TUV","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"TWN","SP.POP.TOTL","Data sources : National Statistics Republic of China (Taiwan)",
"TZA","NY.GDP.PCAP.KD","Covers mainland Tanzania only.",
"TZA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"UGA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"UKR","SP.POP.TOTL","Data sources : State Statistics Committee of Ukraine, United Nations World Population Prospects, Council of Europe, United Nations Population and Vital Statistics Report",
"URY","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"USA","SP.POP.TOTL","Data sources : U.S. Census Bureau",
"UZB","SP.POP.TOTL","Data sources : State Committee of the Republic of Uzbekistan on Statistics, United Nations World Population Prospects",
"VCT","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"VEN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"VNM","SP.POP.TOTL","Data sources : General Statistics Office of Vietnam",
"VUT","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"WSM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"XKX","SP.POP.TOTL","Data sources : Kosovo Agency of Statistics, U.S. Census Bureau",
"YEM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ZAF","SP.POP.TOTL","Data sources : Statistics South Africa, United Nations World Population Prospects",
"ZMB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ZWE","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
